"com","lib_com","dep","reg","business_crea","nb_crimes","nb_households","pop","income","com_type","party","tax_rate","motorway","iqr_income","nb_businesses","crime_rate"
"92050","Nanterre","92",11,0.168211460113525,235,40579.5595020554,95851,2,"B","Left",0.233300000429153,1,19868,5826,0.00579109292667647
"92060","Le Plessis-Robinson","92",11,0.154753133654594,84,13683.6281488397,29156,5,"B","Right",0.205899998545647,1,21224,1357,0.00613872279239938
"92062","Puteaux","92",11,0.129737883806229,75,23721.3102690587,45437,5,"B","Right",0.19760000705719,1,26450,5303,0.00316171405159805
"92063","Rueil-Malmaison","92",11,0.140191718935966,206,36561.5859245164,80354,6,"B","Right",0.217900007963181,1,28832,5842,0.00563432889441118
"92064","Saint-Cloud","92",11,0.139796659350395,113,14409.9117792867,29953,6,"B","Right",0.186299994587898,1,37648,2754,0.00784182455318221
"92072","Sèvres","92",11,0.132404178380966,96,10700.5363641109,23718,6,"B","Right",0.192499995231628,1,31464,2009,0.00897151289742629
"92073","Suresnes","92",11,0.138867929577827,157,22986.6212996503,49113,6,"B","Right",0.224899992346764,1,30168,3975,0.00683005988367627
"92075","Vanves","92",11,0.177611008286476,70,14893.1451722397,28139,6,"B","Right",0.192499995231628,1,24772,1599,0.0047001489067922
"92077","Ville-d'Avray","92",11,0.162729665637016,42,5289.85652238108,11703,6,"B","Right",0.192499995231628,1,34896,762,0.00793972385116693
"92078","Villeneuve-la-Garenne","92",11,0.198517292737961,60,9697.61882271173,24572,2,"B","Right",0.272900015115738,1,13318,1214,0.00618708582971735
"93001","Aubervilliers","93",11,0.157696217298508,447,34624.3469588964,84327,2,"B","Left",0.35139998793602,1,12028,6893,0.012909990779917
"93005","Aulnay-sous-Bois","93",11,0.176567271351814,457,31559.8724443758,84174,2,"B","Right",0.322400003671646,1,16312,4259,0.014480413404885
"93006","Bagnolet","93",11,0.153660014271736,152,15967.8546285952,36080,2,"B","Left",0.386699974536896,1,17148,3306,0.00951912473750849
"93007","Le Blanc-Mesnil","93",11,0.195932731032372,324,21093.8843020453,55671,2,"B","Right",0.348399996757507,1,14202,2557,0.0153599022048578
"93008","Bobigny","93",11,0.184225037693977,203,20184.4316295472,52020,2,"B","Centre & Others",0.386699974536896,1,11832,3626,0.0100572561925814
"93010","Bondy","93",11,0.191753402352333,289,20912.0142946154,53686,2,"B","Left",0.386699974536896,1,15133,2498,0.0138198069267012
"93013","Le Bourget","93",11,0.17578125,128,6993.23503565369,16318,2,"B","Centre & Others",0.348699986934662,1,15462,1024,0.0183034031242216
"93014","Clichy-sous-Bois","93",11,0.184931501746178,75,9381.12173763264,30249,1,"B","Left",0.333400011062622,1,12178,1460,0.0079947795261131
"93027","La Courneuve","93",11,0.187474578619003,184,15928.9594157657,41956,2,"B","Left",0.35139998793602,1,10928,2459,0.0115512881411378
"93029","Drancy","93",11,0.194715231657028,420,29896.9460771083,70206,2,"B","Right",0.383300006389618,1,15566,3898,0.0140482576018555
"93030","Dugny","93",11,0.274305552244186,11,4279.91251938601,10539,2,"B","Right",0.374300003051758,1,13964,288,0.00257014599017506
"93031","Épinay-sur-Seine","93",11,0.196298986673355,180,21845.8765635805,55008,2,"B","Right",0.35139998793602,1,14290,2756,0.00823954120019519
"93032","Gagny","93",11,0.198051944375038,234,16464.0495836026,39843,3,"B","Right",0.323100000619888,1,18386,1848,0.0142127851845789
"93045","Les Lilas","93",11,0.156046807765961,173,11690.1086721389,23110,4,"B","Left",0.386699974536896,1,21008,1538,0.0147988359092257
"93046","Livry-Gargan","93",11,0.180191427469254,304,19352.4275103517,44678,3,"B","Right",0.354900002479553,1,16488,2403,0.0157086236255058
"93047","Montfermeil","93",11,0.16666667163372,91,9462.41522424273,25894,2,"B","Right",0.333400011062622,1,17954,1884,0.00961699501062454
"93048","Montreuil","93",11,0.16102896630764,543,50709.0567156311,107564,2,"B","Left",0.386699974536896,1,19978,9874,0.010708146338534
"93049","Neuilly-Plaisance","93",11,0.15490797162056,108,9887.94533631359,21311,4,"B","Right",0.277599990367889,1,20206,1304,0.0109223904791796
